Date,Patients Registered,Active Doctors,Online Orders,Revenue (USD),Daily Appointments,Customer Satisfaction,Medicine Prediction Accuracy,Readmission Prediction Accuracy,Recommendation Accuracy,Inventory Forecast Accuracy
01-Jan-2026,182,386,1491,98823,1392,4.9,96.7%,95.9%,96.6%,94.7%
02-Jan-2026,216,404,1135,75151,1447,5.0,96.6%,95.9%,96.4%,95.9%
03-Jan-2026,136,396,959,69393,1179,4.8,95.1%,95.8%,94.1%,97.7%
04-Jan-2026,201,403,1205,87010,1314,4.9,95.2%,97.4%,96.2%,96.0%
05-Jan-2026,155,440,1388,96286,1217,4.7,97.9%,97.3%,94.6%,95.3%
06-Jan-2026,131,420,1031,63283,1222,5.0,95.2%,93.7%,96.0%,96.2%
07-Jan-2026,183,431,960,74226,1317,4.8,98.2%,94.0%,95.0%,96.7%
08-Jan-2026,206,436,1495,108480,1307,4.5,95.3%,96.8%,93.0%,95.7%
09-Jan-2026,188,427,1303,83908,1438,5.0,97.8%,97.0%,95.1%,96.4%
10-Jan-2026,197,408,1122,80942,1368,5.0,95.2%,95.0%,93.5%,95.4%
11-Jan-2026,126,407,1457,97362,1291,5.0,95.9%,96.2%,96.3%,97.4%
12-Jan-2026,135,398,1256,86282,1235,4.6,97.5%,95.8%,93.9%,95.2%
13-Jan-2026,202,412,986,75761,1416,4.9,94.7%,93.5%,94.8%,95.2%
14-Jan-2026,133,380,1308,99438,1195,4.7,94.5%,95.2%,93.8%,96.1%
15-Jan-2026,139,406,1076,82245,1103,4.6,97.1%,94.4%,94.6%,95.2%
16-Jan-2026,174,437,1136,79128,1237,4.6,96.3%,96.9%,93.6%,95.4%
17-Jan-2026,175,380,1317,99966,1201,4.6,95.6%,94.0%,94.7%,95.3%
18-Jan-2026,124,390,1153,88862,1440,5.0,95.0%,95.5%,95.0%,96.7%
19-Jan-2026,136,400,1359,93816,1299,4.6,98.3%,96.7%,93.5%,95.4%
20-Jan-2026,121,429,1192,72636,1275,4.7,96.9%,93.5%,94.9%,95.1%
21-Jan-2026,130,428,1389,89534,1178,4.9,95.2%,94.6%,93.5%,95.1%
22-Jan-2026,209,395,1389,88300,1152,4.9,96.5%,94.2%,97.0%,96.4%
23-Jan-2026,201,389,1184,73607,1305,4.5,98.5%,97.2%,94.7%,96.5%
