Doctor ID,Department,Patients,Avg Consultation Time (mins),Rating
DR201,Gastroenterology,82,29,4.6
DR202,Cardiology,65,24,4.3
DR203,Neurology,112,28,4.4
DR204,ENT,99,12,5.0
DR205,ENT,121,23,4.6
DR206,ENT,92,23,4.9
DR207,Dermatology,71,24,4.4
DR208,General Medicine,70,31,4.4
DR209,Emergency,129,20,4.2
DR210,Gastroenterology,97,23,4.8
DR211,Neurology,50,15,4.4
DR212,Neurology,64,29,4.9
DR213,Emergency,124,13,4.8
DR214,Neurology,103,24,4.5
DR215,Ophthalmology,52,17,4.4
DR216,Endocrinology,124,23,4.9
DR217,General Medicine,120,23,5.0
DR218,Pediatrics,48,30,5.0
DR219,Ophthalmology,93,29,4.4
DR220,Gastroenterology,34,14,4.2
DR221,Pediatrics,58,12,4.6
DR222,General Medicine,72,31,4.4
DR223,Pulmonology,73,17,4.9
DR224,Ophthalmology,71,13,4.2
DR225,Pediatrics,120,16,4.8
DR226,Ophthalmology,97,23,5.0
DR227,Endocrinology,120,24,4.7
DR228,Endocrinology,68,22,4.3
DR229,Pulmonology,123,25,4.8
DR230,Gastroenterology,113,22,4.3
DR231,Dermatology,118,31,4.8
DR232,Neurology,115,30,4.9
DR233,Psychiatry,69,21,4.3
DR234,Nephrology,30,30,4.5
DR235,ENT,102,13,4.3
DR236,Endocrinology,108,19,4.7
DR237,Cardiology,93,16,4.5
DR238,Cardiology,60,23,5.0
DR239,Pulmonology,111,14,4.9
DR240,Oncology,111,22,4.6
DR241,Orthopedics,56,19,4.8
DR242,Endocrinology,62,15,4.8
DR243,General Medicine,79,26,4.8
DR244,Pulmonology,82,27,4.9
DR245,Endocrinology,99,24,4.3
DR246,Gastroenterology,130,30,4.7
DR247,Oncology,58,17,4.6
DR248,ENT,34,21,4.2
DR249,Orthopedics,43,14,4.5
DR250,Emergency,78,17,4.8
DR251,Dermatology,41,22,4.7
DR252,Pediatrics,91,12,4.5
DR253,Oncology,51,31,4.9
DR254,Pulmonology,36,15,4.5
DR255,Neurology,82,29,4.8
DR256,Nephrology,99,20,4.7
DR257,Orthopedics,60,15,4.2
DR258,Pediatrics,100,27,4.3
DR259,Endocrinology,30,25,4.3
DR260,Ophthalmology,114,32,4.7
DR261,Neurology,42,12,4.4
DR262,Oncology,67,14,4.6
DR263,Cardiology,69,24,4.6
DR264,Emergency,114,20,4.3
DR265,Dermatology,79,17,4.5
DR266,Psychiatry,77,17,4.6
DR267,Orthopedics,86,26,4.4
DR268,Ophthalmology,64,30,4.2
DR269,ENT,119,15,4.3
DR270,Endocrinology,99,25,5.0
DR271,Pediatrics,59,29,4.2
DR272,Psychiatry,96,25,5.0
DR273,Oncology,90,30,4.9
DR274,Gastroenterology,68,14,4.5
DR275,Ophthalmology,121,13,4.6
DR276,Emergency,96,30,4.7
DR277,Pediatrics,48,15,5.0
DR278,Gastroenterology,52,17,5.0
DR279,ENT,54,16,4.2
DR280,Cardiology,117,25,4.4
DR281,Ophthalmology,110,16,4.9
DR282,Orthopedics,70,14,4.3
DR283,Dermatology,80,29,4.5
DR284,Orthopedics,96,26,4.9
DR285,General Medicine,130,31,4.7
DR286,ENT,83,15,4.5
DR287,Pulmonology,102,30,4.7
DR288,Cardiology,43,30,4.8
DR289,ENT,66,29,4.9
DR290,Emergency,82,20,4.5
DR291,Gastroenterology,103,31,4.6
DR292,Pulmonology,65,24,4.3
DR293,Pediatrics,117,24,4.2
DR294,Emergency,72,19,4.2
DR295,Gastroenterology,64,23,4.2
DR296,Ophthalmology,68,21,4.4
DR297,Gastroenterology,119,15,5.0
DR298,Neurology,47,21,5.0
DR299,Gastroenterology,129,22,4.4
DR300,Psychiatry,107,32,4.3
DR301,Gastroenterology,57,25,4.8
DR302,ENT,96,23,4.9
DR303,Dermatology,50,14,4.4
DR304,Dermatology,81,16,4.8
DR305,Dermatology,102,12,4.3
DR306,Emergency,55,13,4.4
DR307,Gastroenterology,36,23,4.8
DR308,Orthopedics,77,26,4.6
DR309,Oncology,45,12,4.4
DR310,Gastroenterology,106,26,4.3
DR311,Ophthalmology,90,30,4.6
DR312,Endocrinology,50,20,4.8
DR313,Nephrology,41,21,4.2
DR314,General Medicine,50,30,4.8
DR315,Neurology,58,32,4.4
DR316,Neurology,64,32,4.5
DR317,General Medicine,129,12,4.6
DR318,Pulmonology,112,17,4.7
DR319,General Medicine,58,20,4.7
DR320,Orthopedics,121,32,4.4
DR321,Emergency,78,23,4.6
DR322,Neurology,89,21,4.7
DR323,Ophthalmology,109,24,4.7
DR324,General Medicine,95,23,4.6
DR325,Pediatrics,107,21,4.4
DR326,Cardiology,91,14,4.5
DR327,Orthopedics,111,22,4.9
DR328,Orthopedics,113,32,4.4
DR329,Pulmonology,96,19,4.9
DR330,ENT,106,24,4.7
DR331,Oncology,47,12,4.7
DR332,Orthopedics,63,25,4.5
DR333,Nephrology,34,30,4.8
DR334,Pediatrics,54,22,4.8
DR335,Neurology,117,29,4.7
DR336,Gastroenterology,115,23,4.6
DR337,Ophthalmology,51,29,4.3
DR338,Cardiology,90,16,4.8
DR339,Nephrology,101,17,5.0
DR340,Emergency,72,32,4.3
DR341,Endocrinology,58,21,4.5
DR342,Emergency,72,23,4.4
DR343,Orthopedics,89,15,4.6
DR344,Ophthalmology,111,30,4.7
