Medicine,Stock,Reorder Level,Expiry Date,Warehouse
Escitalopram Batch-001,705,194,03-Jan-2028,Warehouse E
Amlodipine Batch-002,780,293,14-May-2027,Warehouse D
Ranitidine Batch-003,195,73,27-Mar-2028,Warehouse A
Azithromycin Batch-004,347,114,13-Jan-2027,Warehouse E
Simvastatin Batch-005,821,256,16-Nov-2028,Warehouse C
Rosuvastatin Batch-006,615,207,25-Sep-2028,Warehouse A
Naproxen Batch-007,757,261,08-May-2028,Warehouse C
Metformin XR Batch-008,232,85,25-Jul-2028,Warehouse E
Atorvastatin Batch-009,91,29,10-Jun-2027,Warehouse E
Paracetamol Batch-010,587,219,18-Mar-2027,Warehouse D
Loratadine Batch-011,326,86,12-Oct-2027,Warehouse A
Rizatriptan Batch-012,308,95,23-Jan-2028,Warehouse D
Glipizide Batch-013,160,46,09-Aug-2028,Warehouse D
Budesonide Batch-014,590,170,02-May-2027,Warehouse D
Amlodipine Batch-015,185,51,06-Feb-2027,Warehouse E
Sertraline Batch-016,80,29,10-Sep-2028,Warehouse E
Zolpidem Batch-017,391,147,29-Jul-2028,Warehouse B
Pantoprazole Batch-018,429,116,25-Feb-2027,Warehouse B
Pantoprazole Batch-019,419,130,26-Sep-2028,Warehouse E
Paracetamol Batch-020,813,269,08-Apr-2028,Warehouse A
Buspirone Batch-021,857,284,03-Jan-2027,Warehouse C
Melatonin Batch-022,929,303,26-Oct-2027,Warehouse E
Rosuvastatin Batch-023,462,157,16-Feb-2027,Warehouse B
Ranitidine Batch-024,223,81,24-Feb-2028,Warehouse A
Ibuprofen Batch-025,705,168,04-May-2027,Warehouse D
Fluoxetine Batch-026,548,199,15-Jul-2027,Warehouse C
Buspirone Batch-027,855,241,10-Oct-2028,Warehouse E
Celecoxib Batch-028,870,329,13-Apr-2028,Warehouse E
Rizatriptan Batch-029,217,85,05-Jan-2027,Warehouse E
Atorvastatin Batch-030,646,250,22-Aug-2028,Warehouse D
Rizatriptan Batch-031,879,337,01-Jul-2027,Warehouse E
Escitalopram Batch-032,828,300,17-Apr-2027,Warehouse D
Telmisartan Batch-033,700,263,31-May-2028,Warehouse D
Montelukast Batch-034,703,269,12-Sep-2027,Warehouse C
Methimazole Batch-035,431,169,08-Apr-2028,Warehouse B
Cetirizine Batch-036,502,160,08-Jun-2028,Warehouse C
Sertraline Batch-037,401,137,20-Jul-2028,Warehouse B
Fexofenadine Batch-038,294,95,25-Oct-2027,Warehouse C
Cetirizine Batch-039,807,266,02-Jul-2027,Warehouse E
Salbutamol Batch-040,790,258,28-Dec-2028,Warehouse A
Melatonin Batch-041,655,193,07-Aug-2028,Warehouse D
Salbutamol Batch-042,372,139,08-Mar-2028,Warehouse A
Rosuvastatin Batch-043,189,38,29-May-2027,Warehouse A
Atorvastatin Batch-044,284,71,14-Jun-2027,Warehouse C
Ibuprofen Batch-045,229,84,08-Dec-2028,Warehouse C
Fluoxetine Batch-046,851,262,03-Jan-2028,Warehouse D
Buspirone Batch-047,710,265,29-Jul-2028,Warehouse B
Sertraline Batch-048,478,118,13-Dec-2028,Warehouse C
Atorvastatin Batch-049,470,130,02-Dec-2028,Warehouse C
Sertraline Batch-050,135,27,15-Sep-2027,Warehouse B
Topiramate Batch-051,879,327,29-Mar-2028,Warehouse B
Zolpidem Batch-052,801,273,12-Jan-2028,Warehouse E
Salbutamol Batch-053,836,268,18-Jul-2027,Warehouse C
Omeprazole Batch-054,261,103,18-Mar-2027,Warehouse B
Escitalopram Batch-055,832,251,22-Jan-2028,Warehouse A
Naproxen Batch-056,365,113,14-May-2027,Warehouse B
Sumatriptan Batch-057,946,237,05-Dec-2027,Warehouse D
Ciprofloxacin Batch-058,120,27,27-Nov-2027,Warehouse E
Atorvastatin Batch-059,872,337,22-Sep-2028,Warehouse C
Ranitidine Batch-060,888,279,02-Jan-2028,Warehouse A
Loratadine Batch-061,618,150,08-Jul-2027,Warehouse E
Azithromycin Batch-062,885,266,01-Mar-2028,Warehouse E
Salbutamol Batch-063,493,107,15-Aug-2027,Warehouse B
Losartan Batch-064,419,114,12-Aug-2027,Warehouse E
Rosuvastatin Batch-065,566,226,26-Oct-2028,Warehouse A
Celecoxib Batch-066,764,205,04-Sep-2027,Warehouse E
Topiramate Batch-067,329,128,29-Nov-2028,Warehouse C
Metformin XR Batch-068,895,348,31-Jan-2028,Warehouse C
Salbutamol Batch-069,821,210,13-Jun-2028,Warehouse C
Rizatriptan Batch-070,902,272,13-May-2028,Warehouse A
Levothyroxine Batch-071,747,178,10-Jun-2028,Warehouse A
Buspirone Batch-072,251,98,04-Jul-2028,Warehouse E
Alprazolam Batch-073,721,153,17-Nov-2028,Warehouse B
Naproxen Batch-074,935,206,04-Jul-2028,Warehouse D
Azithromycin Batch-075,844,284,25-Jan-2027,Warehouse D
Losartan Batch-076,118,25,25-Feb-2027,Warehouse B
Ibuprofen Batch-077,651,139,22-Aug-2027,Warehouse C
Montelukast Batch-078,477,138,19-Feb-2028,Warehouse D
Loratadine Batch-079,97,26,02-May-2027,Warehouse E
Alprazolam Batch-080,736,253,06-Mar-2027,Warehouse E
Amoxicillin Batch-081,797,294,02-Jan-2028,Warehouse E
Buspirone Batch-082,376,134,05-Nov-2027,Warehouse E
Budesonide Batch-083,368,129,24-Mar-2028,Warehouse D
Methimazole Batch-084,921,305,30-Apr-2028,Warehouse B
Salbutamol Batch-085,305,69,05-Feb-2028,Warehouse E
Levothyroxine Batch-086,729,166,24-Nov-2028,Warehouse C
Alprazolam Batch-087,646,242,25-May-2027,Warehouse A
Amoxicillin Batch-088,85,26,08-Feb-2028,Warehouse E
Sertraline Batch-089,167,43,19-Dec-2027,Warehouse B
Montelukast Batch-090,741,274,26-May-2027,Warehouse B
Escitalopram Batch-091,306,98,16-Sep-2027,Warehouse B
Celecoxib Batch-092,265,88,03-Aug-2028,Warehouse A
Sertraline Batch-093,552,181,16-Mar-2027,Warehouse C
Azithromycin Batch-094,336,73,17-Aug-2028,Warehouse D
Losartan Batch-095,445,100,02-Nov-2028,Warehouse B
Buspirone Batch-096,371,120,18-Jul-2027,Warehouse C
Ranitidine Batch-097,541,143,06-Nov-2028,Warehouse C
Sumatriptan Batch-098,236,73,09-Jan-2028,Warehouse C
Naproxen Batch-099,252,50,10-Sep-2027,Warehouse B
Naproxen Batch-100,363,133,18-May-2027,Warehouse C
Paracetamol Batch-101,553,159,09-Nov-2027,Warehouse D
Sertraline Batch-102,191,44,13-Sep-2028,Warehouse A
Insulin Batch-103,926,211,05-Jul-2028,Warehouse B
Ibuprofen Batch-104,831,313,20-Mar-2027,Warehouse A
Amlodipine Batch-105,949,286,01-Feb-2027,Warehouse E
Sumatriptan Batch-106,494,174,06-Aug-2027,Warehouse A
Sertraline Batch-107,346,106,06-Jul-2028,Warehouse D
Ciprofloxacin Batch-108,454,126,26-Aug-2028,Warehouse C
Cetirizine Batch-109,555,166,03-Apr-2027,Warehouse D
Metformin Batch-110,594,120,02-Sep-2027,Warehouse E
Diclofenac Batch-111,855,258,01-Apr-2028,Warehouse B
Escitalopram Batch-112,659,256,06-Nov-2028,Warehouse B
Paracetamol Batch-113,447,93,14-May-2028,Warehouse B
Azithromycin Batch-114,350,95,13-Feb-2027,Warehouse B
Rosuvastatin Batch-115,890,242,25-Apr-2028,Warehouse D
Amoxicillin Batch-116,120,47,28-Nov-2027,Warehouse A
Rosuvastatin Batch-117,728,266,27-Sep-2027,Warehouse E
Salbutamol Batch-118,663,155,31-Oct-2028,Warehouse D
Metformin Batch-119,681,225,21-Mar-2027,Warehouse E
Ibuprofen Batch-120,465,183,17-Aug-2027,Warehouse E
Methimazole Batch-121,441,160,20-Dec-2027,Warehouse D
Paracetamol Batch-122,698,140,23-May-2027,Warehouse D
Diclofenac Batch-123,315,67,20-Oct-2028,Warehouse C
Fluoxetine Batch-124,233,55,06-Jan-2028,Warehouse E
Celecoxib Batch-125,756,186,05-Dec-2027,Warehouse A
Paracetamol Batch-126,771,228,04-Aug-2027,Warehouse E
Diclofenac Batch-127,742,272,23-Jan-2027,Warehouse B
Amoxicillin Batch-128,210,66,14-Jun-2027,Warehouse B
Zolpidem Batch-129,604,125,09-Aug-2028,Warehouse B
Atorvastatin Batch-130,250,62,04-Jul-2027,Warehouse E
Methimazole Batch-131,693,272,14-Oct-2028,Warehouse A
Levothyroxine Batch-132,167,40,13-Sep-2028,Warehouse D
Paracetamol Batch-133,254,61,25-Feb-2028,Warehouse E
Ciprofloxacin Batch-134,893,282,06-Jul-2027,Warehouse E
Rizatriptan Batch-135,350,81,03-Dec-2028,Warehouse C
Pantoprazole Batch-136,690,219,24-Aug-2027,Warehouse D
Metformin XR Batch-137,215,47,27-Jul-2027,Warehouse E
Rizatriptan Batch-138,780,221,03-Jun-2027,Warehouse E
Buspirone Batch-139,261,77,21-Sep-2028,Warehouse E
Amoxicillin Batch-140,882,270,01-May-2027,Warehouse A
Paracetamol Batch-141,755,170,09-Sep-2028,Warehouse E
Alprazolam Batch-142,873,293,17-Mar-2028,Warehouse E
Montelukast Batch-143,459,172,15-Dec-2028,Warehouse E
Naproxen Batch-144,314,121,08-May-2028,Warehouse D
Melatonin Batch-145,683,246,14-Dec-2028,Warehouse E
Buspirone Batch-146,515,116,03-May-2028,Warehouse B
Budesonide Batch-147,370,118,10-Jul-2028,Warehouse D
Ibuprofen Batch-148,273,54,08-Jan-2027,Warehouse E
Rosuvastatin Batch-149,200,60,20-Jan-2028,Warehouse B
Loratadine Batch-150,498,135,08-Jun-2027,Warehouse D
Sumatriptan Batch-151,339,85,02-Jul-2028,Warehouse D
Simvastatin Batch-152,454,146,27-Nov-2028,Warehouse D
Fluoxetine Batch-153,503,156,24-Jul-2028,Warehouse D
Escitalopram Batch-154,459,143,10-May-2028,Warehouse C
Lisinopril Batch-155,671,180,23-Dec-2028,Warehouse D
Cetirizine Batch-156,755,168,24-Aug-2027,Warehouse D
Diclofenac Batch-157,182,44,15-Feb-2028,Warehouse C
Sertraline Batch-158,708,240,24-Dec-2028,Warehouse A
Diclofenac Batch-159,478,187,06-Jan-2027,Warehouse A
Ciprofloxacin Batch-160,562,216,21-Mar-2028,Warehouse A
Azithromycin Batch-161,349,85,23-Mar-2027,Warehouse E
Amoxicillin Batch-162,821,227,15-Feb-2028,Warehouse E
Rosuvastatin Batch-163,373,127,03-Sep-2028,Warehouse A
Escitalopram Batch-164,735,219,11-Jan-2027,Warehouse B
Rosuvastatin Batch-165,372,88,05-Sep-2028,Warehouse E
Rosuvastatin Batch-166,795,195,23-Jun-2027,Warehouse A
Metformin Batch-167,324,107,11-Jun-2027,Warehouse A
Insulin Batch-168,878,245,16-Nov-2028,Warehouse D
Methimazole Batch-169,680,163,16-Jan-2027,Warehouse A
Budesonide Batch-170,642,164,26-Jul-2028,Warehouse E
Melatonin Batch-171,435,170,11-Oct-2027,Warehouse B
Telmisartan Batch-172,279,81,18-Feb-2028,Warehouse E
Alprazolam Batch-173,347,81,02-Jun-2028,Warehouse A
Sertraline Batch-174,154,46,15-Dec-2027,Warehouse A
Rizatriptan Batch-175,343,128,11-Aug-2028,Warehouse C
Omeprazole Batch-176,466,145,07-Sep-2027,Warehouse C
Pantoprazole Batch-177,777,226,23-Aug-2028,Warehouse A
Paracetamol Batch-178,199,50,27-Jan-2028,Warehouse B
Fluticasone Batch-179,899,236,28-Dec-2027,Warehouse E
Salbutamol Batch-180,89,30,27-Sep-2027,Warehouse B
Levothyroxine Batch-181,175,48,17-Dec-2027,Warehouse A
Sertraline Batch-182,262,77,29-Dec-2027,Warehouse B
Simvastatin Batch-183,355,83,30-Nov-2028,Warehouse B
Ranitidine Batch-184,834,200,05-Sep-2027,Warehouse C
Fluoxetine Batch-185,314,75,13-Sep-2027,Warehouse E
Melatonin Batch-186,239,85,03-May-2027,Warehouse A
Ranitidine Batch-187,708,142,08-Jul-2028,Warehouse A
Paracetamol Batch-188,460,149,19-May-2028,Warehouse E
Insulin Batch-189,582,137,07-Jun-2028,Warehouse C
Methimazole Batch-190,307,107,12-May-2027,Warehouse A
Rosuvastatin Batch-191,898,255,07-Jul-2028,Warehouse A
Rizatriptan Batch-192,435,121,03-Dec-2028,Warehouse B
Pantoprazole Batch-193,203,68,16-Apr-2028,Warehouse C
Alprazolam Batch-194,92,30,24-Jan-2028,Warehouse E
Buspirone Batch-195,413,112,23-Sep-2027,Warehouse B
Sertraline Batch-196,349,86,27-Apr-2028,Warehouse E
Losartan Batch-197,454,107,10-Mar-2028,Warehouse B
Montelukast Batch-198,797,279,09-Jan-2028,Warehouse D
Insulin Batch-199,541,127,15-May-2027,Warehouse E
Fluticasone Batch-200,913,200,04-Oct-2027,Warehouse B
