Date,Orders,Patients,Revenue,Medicine Demand
01-Oct-2025,1668,1275,68466,Very High
02-Oct-2025,1249,1024,54841,Medium
03-Oct-2025,1584,1300,62429,Very High
04-Oct-2025,1611,1160,72730,Very High
05-Oct-2025,1745,1356,76369,Very High
06-Oct-2025,1598,1190,67910,Very High
07-Oct-2025,1681,1188,65209,Very High
08-Oct-2025,1267,898,56394,Medium
09-Oct-2025,1587,1310,61528,Very High
10-Oct-2025,1442,1065,58952,High
11-Oct-2025,1670,1402,66903,Very High
12-Oct-2025,1120,853,45705,Low
13-Oct-2025,1795,1515,71067,Very High
14-Oct-2025,1689,1346,71457,Very High
15-Oct-2025,1391,1047,60349,High
16-Oct-2025,1599,1305,66479,Very High
17-Oct-2025,1180,893,47544,Low
18-Oct-2025,1746,1472,78475,Very High
19-Oct-2025,1755,1441,71426,Very High
20-Oct-2025,1746,1382,72001,Very High
21-Oct-2025,1173,835,47798,Low
22-Oct-2025,1421,1062,57310,High
23-Oct-2025,1373,1085,56517,High
24-Oct-2025,1555,1270,70768,Very High
25-Oct-2025,1701,1323,70765,Very High
26-Oct-2025,1271,924,48532,Medium
27-Oct-2025,1340,1071,61001,High
28-Oct-2025,1181,864,48629,Low
29-Oct-2025,1197,849,53900,Low
30-Oct-2025,1661,1176,73362,Very High
31-Oct-2025,1636,1332,63257,Very High
01-Nov-2025,1368,1084,52906,High
02-Nov-2025,1499,1118,59928,High
03-Nov-2025,1390,1065,54225,High
04-Nov-2025,1639,1353,62656,Very High
05-Nov-2025,1779,1340,80628,Very High
06-Nov-2025,1587,1222,71362,Very High
07-Nov-2025,1378,1077,53853,High
08-Nov-2025,1652,1200,70673,Very High
09-Nov-2025,1746,1418,78602,Very High
10-Nov-2025,1545,1202,66614,Very High
11-Nov-2025,1417,1185,59306,High
12-Nov-2025,1332,1093,55324,High
13-Nov-2025,1474,1122,57848,High
14-Nov-2025,1110,777,49420,Low
15-Nov-2025,1239,931,51732,Medium
16-Nov-2025,1108,889,46464,Low
17-Nov-2025,1588,1182,70073,Very High
18-Nov-2025,1399,1104,62079,High
19-Nov-2025,1661,1255,68589,Very High
20-Nov-2025,1674,1281,66958,Very High
21-Nov-2025,1761,1335,72248,Very High
22-Nov-2025,1369,974,58870,High
23-Nov-2025,1629,1327,73760,Very High
24-Nov-2025,1378,1023,60554,High
25-Nov-2025,1375,1047,61638,High
26-Nov-2025,1286,926,50003,Medium
27-Nov-2025,1566,1241,62917,Very High
28-Nov-2025,1737,1344,70461,Very High
29-Nov-2025,1255,887,53061,Medium
30-Nov-2025,1290,1091,51931,Medium
01-Dec-2025,1228,991,53807,Medium
02-Dec-2025,1338,954,51001,High
03-Dec-2025,1322,993,53531,High
04-Dec-2025,1610,1368,67152,Very High
05-Dec-2025,1132,848,50655,Low
06-Dec-2025,1249,884,55212,Medium
07-Dec-2025,1173,916,46278,Low
08-Dec-2025,1356,1115,60512,High
09-Dec-2025,1224,1035,53510,Medium
10-Dec-2025,1494,1218,62066,High
11-Dec-2025,1134,827,49762,Low
12-Dec-2025,1196,930,54844,Low
13-Dec-2025,1584,1201,72372,Very High
14-Dec-2025,1430,1035,62671,High
15-Dec-2025,1662,1293,66524,Very High
16-Dec-2025,1753,1305,71668,Very High
17-Dec-2025,1153,956,45822,Low
18-Dec-2025,1215,893,50390,Medium
19-Dec-2025,1115,808,44832,Low
20-Dec-2025,1222,927,48812,Medium
21-Dec-2025,1143,899,49750,Low
22-Dec-2025,1710,1236,75524,Very High
23-Dec-2025,1354,979,52442,High
24-Dec-2025,1733,1301,79297,Very High
25-Dec-2025,1740,1233,71068,Very High
26-Dec-2025,1257,1012,55724,Medium
27-Dec-2025,1228,949,49775,Medium
28-Dec-2025,1671,1367,73613,Very High
29-Dec-2025,1549,1254,59126,Very High
30-Dec-2025,1486,1120,58069,High
31-Dec-2025,1140,880,47310,Low
01-Jan-2026,1401,1094,58730,High
02-Jan-2026,1680,1223,68512,Very High
03-Jan-2026,1579,1170,70503,Very High
04-Jan-2026,1667,1206,70429,Very High
05-Jan-2026,1560,1161,62566,Very High
06-Jan-2026,1475,1132,65205,High
07-Jan-2026,1618,1224,63885,Very High
08-Jan-2026,1119,887,45781,Low
09-Jan-2026,1735,1276,75937,Very High
10-Jan-2026,1774,1499,79035,Very High
11-Jan-2026,1294,1007,54322,Medium
12-Jan-2026,1664,1203,67001,Very High
13-Jan-2026,1519,1209,59064,Very High
14-Jan-2026,1635,1306,62702,Very High
15-Jan-2026,1232,895,47124,Medium
16-Jan-2026,1209,934,46897,Medium
17-Jan-2026,1684,1340,69227,Very High
18-Jan-2026,1601,1246,69820,Very High
19-Jan-2026,1362,963,54160,High
20-Jan-2026,1172,822,53171,Low
21-Jan-2026,1771,1370,79904,Very High
22-Jan-2026,1181,909,50914,Low
23-Jan-2026,1469,1151,66848,High
24-Jan-2026,1525,1255,67639,Very High
25-Jan-2026,1159,954,46506,Low
26-Jan-2026,1141,924,50974,Low
27-Jan-2026,1179,992,53862,Low
28-Jan-2026,1199,857,47777,Low
29-Jan-2026,1494,1088,63061,High
30-Jan-2026,1354,1063,61715,High
31-Jan-2026,1671,1357,69048,Very High
01-Feb-2026,1208,984,51475,Medium
02-Feb-2026,1790,1376,77546,Very High
03-Feb-2026,1206,874,47568,Medium
04-Feb-2026,1511,1172,65366,Very High
05-Feb-2026,1646,1398,68381,Very High
06-Feb-2026,1460,1219,61904,High
07-Feb-2026,1432,1183,59139,High
08-Feb-2026,1748,1336,76574,Very High
09-Feb-2026,1723,1268,72994,Very High
10-Feb-2026,1484,1209,67387,High
11-Feb-2026,1360,1025,56602,High
12-Feb-2026,1506,1054,57645,Very High
13-Feb-2026,1391,1098,58617,High
14-Feb-2026,1409,987,64638,High
15-Feb-2026,1319,1092,50350,High
16-Feb-2026,1382,1157,58168,High
17-Feb-2026,1684,1412,66076,Very High
18-Feb-2026,1138,875,44665,Low
19-Feb-2026,1371,1035,58483,High
20-Feb-2026,1338,988,54058,High
21-Feb-2026,1684,1279,76357,Very High
22-Feb-2026,1179,953,52280,Low
23-Feb-2026,1277,987,57710,Medium
24-Feb-2026,1690,1390,65509,Very High
25-Feb-2026,1757,1309,77037,Very High
26-Feb-2026,1690,1279,74767,Very High
27-Feb-2026,1442,1084,64222,High
28-Feb-2026,1526,1281,59459,Very High
01-Mar-2026,1332,1081,59668,High
02-Mar-2026,1111,883,47836,Low
03-Mar-2026,1155,861,44270,Low
04-Mar-2026,1652,1296,67095,Very High
05-Mar-2026,1326,958,57533,High
06-Mar-2026,1502,1270,66122,Very High
07-Mar-2026,1689,1310,67182,Very High
08-Mar-2026,1396,1141,54701,High
09-Mar-2026,1444,1028,61473,High
10-Mar-2026,1150,899,46115,Low
11-Mar-2026,1508,1169,66639,Very High
12-Mar-2026,1233,1004,51597,Medium
13-Mar-2026,1302,1006,56269,High
14-Mar-2026,1300,1019,59769,Medium
15-Mar-2026,1636,1205,63105,Very High
16-Mar-2026,1540,1152,69905,Very High
17-Mar-2026,1191,853,49198,Low
18-Mar-2026,1474,1108,59794,High
19-Mar-2026,1708,1363,75420,Very High
20-Mar-2026,1273,1079,54649,Medium
21-Mar-2026,1552,1231,64444,Very High
22-Mar-2026,1339,977,54886,High
23-Mar-2026,1187,850,45623,Low
24-Mar-2026,1735,1455,77988,Very High
25-Mar-2026,1394,978,60709,High
26-Mar-2026,1213,904,50666,Medium
27-Mar-2026,1439,1052,60875,High
28-Mar-2026,1308,1022,57555,High
29-Mar-2026,1661,1283,72817,Very High
30-Mar-2026,1244,1000,53922,Medium
31-Mar-2026,1485,1169,64312,High
01-Apr-2026,1144,844,44022,Low
02-Apr-2026,1305,1067,56041,High
03-Apr-2026,1154,888,52577,Low
04-Apr-2026,1168,885,46919,Low
05-Apr-2026,1775,1338,68982,Very High
06-Apr-2026,1399,1161,60430,High
07-Apr-2026,1336,1131,56203,High
08-Apr-2026,1201,1003,50294,Medium
09-Apr-2026,1711,1334,67569,Very High
10-Apr-2026,1612,1362,68486,Very High
11-Apr-2026,1122,792,50914,Low
12-Apr-2026,1412,1059,58099,High
13-Apr-2026,1260,885,54777,Medium
14-Apr-2026,1463,1161,58358,High
15-Apr-2026,1613,1195,62094,Very High
16-Apr-2026,1363,1133,61502,High
17-Apr-2026,1130,951,51520,Low
18-Apr-2026,1330,961,60085,High
