Pharmacy,Orders,Revenue,Customer Rating
Cure Pharmacy #001,1210,116852,4.6
Apex Rx #002,780,72306,4.5
Trusted Rx #003,711,72619,4.7
Sunrise Pharmacy #004,935,91029,4.7
Care Pharmacy #005,822,86660,4.9
Central Pharmacy #006,1375,121918,4.3
MediMart #007,898,85085,4.7
QuickCare #008,810,82650,4.5
Cure Pharmacy #009,1413,152363,4.4
Green Cross #010,1335,146268,4.5
Care Pharmacy #011,1196,101902,5.0
Sunrise Pharmacy #012,1467,129373,4.4
Nova Pharmacy #013,1162,126887,4.2
MediMart #014,1440,157633,4.3
GoodHealth #015,1486,127468,4.5
Cure Pharmacy #016,1003,100932,4.8
Sunrise Pharmacy #017,990,94920,4.4
Wellness Rx #018,1086,96085,4.6
Nova Pharmacy #019,1460,139329,4.4
MedLife #020,737,62858,4.7
MedLife #021,1338,143329,4.7
MedLife #022,686,60663,4.8
Apex Rx #023,1407,144055,4.9
Trusted Rx #024,784,75546,4.5
Apex Rx #025,993,93225,4.3
Trusted Rx #026,607,60365,4.9
MetroMeds #027,1329,129634,4.5
MediMart #028,1190,112067,5.0
Cure Pharmacy #029,1094,112268,4.3
Neighborhood Pharma #030,1307,113711,4.8
Vital Care #031,1479,162086,4.8
Apex Rx #032,1129,98173,4.9
Care Pharmacy #033,851,82386,4.8
Care Pharmacy #034,1300,131094,4.8
GoodHealth #035,1227,105913,4.5
Central Pharmacy #036,1080,104058,4.9
Cure Pharmacy #037,1351,126031,4.5
GoodHealth #038,896,79912,4.8
Trusted Rx #039,1367,126586,4.8
Family Pharmacy #040,662,66684,4.7
Cure Pharmacy #041,652,66118,4.4
Trusted Rx #042,627,57790,4.3
Vital Care #043,678,72061,4.4
MedLife #044,1230,113189,4.9
Central Pharmacy #045,1359,119304,4.3
Cure Pharmacy #046,1356,120383,4.6
Wellness Rx #047,867,90656,4.4
Wellness Rx #048,1418,139225,4.2
Care Pharmacy #049,748,74716,4.9
Neighborhood Pharma #050,1370,150480,4.8
MetroMeds #051,1276,122501,4.7
QuickCare #052,1191,123100,4.5
Family Pharmacy #053,1373,144835,4.2
Apex Rx #054,1008,97681,4.6
MediMart #055,839,79281,4.8
Neighborhood Pharma #056,868,76929,4.9
Central Pharmacy #057,895,96821,4.6
PrimeCare #058,1142,116566,4.2
MediMart #059,1252,117494,4.9
Trusted Rx #060,1267,134883,4.5
Family Pharmacy #061,1421,124276,4.7
Sunrise Pharmacy #062,1072,111840,4.8
Cure Pharmacy #063,1388,124743,4.5
Wellness Rx #064,920,90795,4.7
Care Pharmacy #065,612,58312,4.6
Apex Rx #066,959,86775,4.4
QuickCare #067,634,54265,4.3
Trusted Rx #068,1272,136548,4.4
Trusted Rx #069,1253,110320,5.0
Care Pharmacy #070,1476,147772,4.5
Cure Pharmacy #071,1422,155252,4.9
Wellness Rx #072,859,79340,4.7
Care Pharmacy #073,1254,120805,5.0
Green Cross #074,1308,140720,4.8
PrimeCare #075,863,76849,4.3
City Pharmacy #076,991,93862,5.0
Family Pharmacy #077,1432,131195,4.6
Neighborhood Pharma #078,805,80707,4.3
Neighborhood Pharma #079,711,62992,4.8
QuickCare #080,1228,124130,4.9
Family Pharmacy #081,705,60539,4.3
Family Pharmacy #082,1395,134125,4.9
MedLife #083,1268,128078,4.9
Sunrise Pharmacy #084,872,77425,4.5
Sunrise Pharmacy #085,1188,101090,4.8
Neighborhood Pharma #086,1089,104436,4.9
Care Pharmacy #087,1153,104515,4.5
Neighborhood Pharma #088,724,71807,4.9
