API Service,Status,Avg Response Time (ms),Availability
Doctor Match API [ap-southeast-1-001],Running,186,99.921%
Alert API [ap-south-1-002],Running,209,99.947%
Appointment Prediction API [us-west-2-003],Running,175,99.979%
Insurance Verify API [us-west-2-004],Running,156,99.935%
Doctor Match API [eu-west-1-005],Running,94,99.962%
Analytics API [ap-south-1-006],Running,118,99.937%
Pharmacy Locator API [ap-southeast-1-007],Running,169,99.917%
Insurance Verify API [ap-south-1-008],Running,187,99.897%
Insurance Verify API [us-east-1-009],Running,119,99.89%
Recommendation API [eu-west-1-010],Degraded,135,99.976%
Chatbot API [ap-southeast-1-011],Running,130,99.988%
Recommendation API [us-east-1-012],Running,69,99.931%
Doctor Match API [us-west-2-013],Running,124,99.895%
Analytics API [us-west-2-014],Running,95,99.999%
Chatbot API [eu-west-1-015],Running,136,99.892%
Doctor Match API [ap-south-1-016],Degraded,208,99.963%
Patient Prediction API [ap-south-1-017],Running,98,99.979%
Appointment Prediction API [us-west-2-018],Running,113,99.921%
Chatbot API [ap-southeast-1-019],Running,179,99.958%
Pharmacy Locator API [eu-west-1-020],Running,140,99.976%
Insurance Verify API [ap-south-1-021],Running,175,99.977%
Patient Prediction API [eu-west-1-022],Running,92,99.896%
Patient Prediction API [ap-south-1-023],Running,150,99.901%
Insurance Verify API [ap-south-1-024],Running,163,99.964%
Chatbot API [eu-west-1-025],Running,65,99.935%
Patient Prediction API [us-west-2-026],Running,144,99.935%
Alert API [ap-southeast-1-027],Running,160,99.996%
Appointment Prediction API [ap-south-1-028],Running,158,99.878%
Recommendation API [eu-west-1-029],Running,175,99.945%
Analytics API [us-east-1-030],Running,201,99.876%
Alert API [ap-south-1-031],Running,110,99.86%
Insurance Verify API [eu-west-1-032],Running,134,99.948%
Recommendation API [ap-south-1-033],Running,192,99.852%
Doctor Match API [ap-south-1-034],Running,88,99.869%
Insurance Verify API [ap-south-1-035],Running,159,99.992%
Appointment Prediction API [us-west-2-036],Running,139,99.914%
Pharmacy Locator API [us-west-2-037],Running,139,99.938%
